;date;India;Germany;China
75;2020-04-06;4778;95391;84611
76;2020-04-07;5311;99225;84692
77;2020-04-08;5916;103228;84909
78;2020-04-09;6725;108202;85024
79;2020-04-10;7598;113525;85115
80;2020-04-11;8446;117658;85208
81;2020-04-12;9205;120479;85377
82;2020-04-13;10453;123016;85489
83;2020-04-14;11487;125098;85569
84;2020-04-15;12322;127584;85668
85;2020-04-16;13430;130450;85774
86;2020-04-17;14352;133830;86187
87;2020-04-18;15722;137439;86258
88;2020-04-19;17615;139897;86321
89;2020-04-20;18539;141672;86382
90;2020-04-21;20080;143457;86452
91;2020-04-22;21370;145694;86508
92;2020-04-23;23077;148046;86548
93;2020-04-24;24530;150383;86594
94;2020-04-25;26283;152438;86632
95;2020-04-26;27890;154175;86661
96;2020-04-27;29451;155193;86692
97;2020-04-28;31324;156337;86754
98;2020-04-29;33062;157641;86783
99;2020-04-30;34863;159119;86828
100;2020-05-01;37257;160758;86850
101;2020-05-02;39699;161703;86858
102;2020-05-03;42505;162496;86842
103;2020-05-04;46437;163175;86838
104;2020-05-05;49400;163860;86855
105;2020-05-06;52987;164807;86877
106;2020-05-07;56351;166091;86888
107;2020-05-08;59695;167300;86905
108;2020-05-09;62808;168551;86934
109;2020-05-10;67161;169218;86973
110;2020-05-11;70768;169575;86980
111;2020-05-12;74292;170508;87002
112;2020-05-13;78055;171306;87016
113;2020-05-14;81997;172239;87032
114;2020-05-15;85784;173152;87052
115;2020-05-16;90648;173772;87070
116;2020-05-17;95698;174355;87092
117;2020-05-18;100328;174697;87119
118;2020-05-19;106475;175210;87135
119;2020-05-20;112028;176007;87151
120;2020-05-21;118226;176752;87190
121;2020-05-22;124794;177212;87235
122;2020-05-23;131423;177850;87266
123;2020-05-24;138536;178281;87313
124;2020-05-25;144950;178570;87360
125;2020-05-26;150793;179002;87390
126;2020-05-27;158086;179364;87421
127;2020-05-28;165386;179717;87444
128;2020-05-29;173491;180458;87466
129;2020-05-30;181827;181196;87475
130;2020-05-31;190609;181482;87496
131;2020-06-01;198370;181815;87520
132;2020-06-02;207191;182028;87535
133;2020-06-03;216824;182370;87538
134;2020-06-04;226713;182764;87553
135;2020-06-05;236184;183271;87561
136;2020-06-06;246622;183678;87572
137;2020-06-07;257486;183979;87581
138;2020-06-08;265928;184193;87587
139;2020-06-09;276146;184543;87610
140;2020-06-10;286605;184861;87626
141;2020-06-11;297535;185416;87636
142;2020-06-12;308993;185674;87648
143;2020-06-13;320922;186022;87713
144;2020-06-14;332424;186269;87769
145;2020-06-15;343091;186461;87830
146;2020-06-16;354065;186839;87880
147;2020-06-17;366946;187184;87921
148;2020-06-18;380532;187764;87965
149;2020-06-19;395048;188534;87971
150;2020-06-20;410451;189135;88034
151;2020-06-21;425282;189822;88057
152;2020-06-22;440215;190359;88115
153;2020-06-23;456183;190862;88150
154;2020-06-24;473105;191449;88172
155;2020-06-25;490401;192079;88201
156;2020-06-26;508953;192556;88229
157;2020-06-27;528859;193243;88258
158;2020-06-28;548318;193499;88277
159;2020-06-29;566840;193761;88305
160;2020-06-30;585481;194259;88311
161;2020-07-01;604641;194725;88344
162;2020-07-02;625544;195228;88360
163;2020-07-03;648315;195674;88372
164;2020-07-04;673165;196096;88395
165;2020-07-05;697413;196335;88415
166;2020-07-06;719664;196554;88444
167;2020-07-07;742417;196944;88485
168;2020-07-08;767296;197341;88524
169;2020-07-09;793802;197783;88571
170;2020-07-10;820916;198178;88612
171;2020-07-11;849522;198556;88657
172;2020-07-12;878254;198804;88708
173;2020-07-13;906752;198963;88766
174;2020-07-14;936181;199375;88828
175;2020-07-15;968857;199726;88852
176;2020-07-16;1003832;200260;88935
177;2020-07-17;1039084;200843;89015
178;2020-07-18;1077781;201372;89109
179;2020-07-19;1118206;201574;89280
180;2020-07-20;1155338;201823;89376
181;2020-07-21;1193078;202345;89454
182;2020-07-22;1238798;202799;89614
183;2020-07-23;1288108;203368;89768
184;2020-07-24;1337024;204183;89957
185;2020-07-25;1385635;204964;90192
186;2020-07-26;1435616;205269;90432
187;2020-07-27;1480073;205609;90658
188;2020-07-28;1531669;206242;90875
189;2020-07-29;1581963;206926;91074
190;2020-07-30;1634746;207828;91359
191;2020-07-31;1695988;208698;91500
192;2020-08-01;1750723;209653;91690
193;2020-08-02;1803695;209893;91864
194;2020-08-03;1855745;210402;91983
195;2020-08-04;1908254;211281;92109
196;2020-08-05;1964536;212022;92255
197;2020-08-06;2027074;213067;92406
198;2020-08-07;2088611;214214;92540
199;2020-08-08;2153010;215336;92646
200;2020-08-09;2215074;215891;92778
201;2020-08-10;2268675;216327;92919
202;2020-08-11;2329638;217293;92986
203;2020-08-12;2396637;218519;93091
204;2020-08-13;2461190;219964;93210
205;2020-08-14;2525922;221413;93308
206;2020-08-15;2589952;222828;93392
207;2020-08-16;2647663;223453;93503
208;2020-08-17;2702681;224014;93605
209;2020-08-18;2767253;225404;93675
210;2020-08-19;2836925;226914;93720
211;2020-08-20;2905825;228621;93782
212;2020-08-21;2975701;230048;93851
213;2020-08-22;3044940;232082;93922
214;2020-08-23;3106348;232864;93978
215;2020-08-24;3167323;233575;94027
216;2020-08-25;3224547;234853;94077
217;2020-08-26;3310234;236429;94118
218;2020-08-27;3387500;237936;94166
219;2020-08-28;3463972;239507;94202
220;2020-08-29;3542733;240986;94236
221;2020-08-30;3621245;241771;94272
222;2020-08-31;3691166;242381;94310
223;2020-09-01;3769523;243599;94363
224;2020-09-02;3853406;244855;94402
225;2020-09-03;3936747;246166;94445
226;2020-09-04;4023179;247619;94491
227;2020-09-05;4113811;248997;94516
228;2020-09-06;4204613;249985;94565
229;2020-09-07;4280422;250799;94601
230;2020-09-08;4370128;252298;94621
231;2020-09-09;4465863;253474;94641
232;2020-09-10;4562414;255366;94683
233;2020-09-11;4659984;256850;94722
234;2020-09-12;4754356;258480;94752
235;2020-09-13;4846427;259428;94851
236;2020-09-14;4930236;260355;94911
237;2020-09-15;5020359;261762;94934
238;2020-09-16;5118253;263663;94966
239;2020-09-17;5214677;265857;95021
240;2020-09-18;5308014;267773;95056
241;2020-09-19;5400619;270070;95103
242;2020-09-20;5487580;271415;95159
243;2020-09-21;5562663;272337;95196
244;2020-09-22;5646010;274158;95229
245;2020-09-23;5732518;275927;95254
246;2020-09-24;5818570;278070;95289
247;2020-09-25;5903932;280223;95323
248;2020-09-26;5992532;282730;95368
249;2020-09-27;6074702;284140;95416
250;2020-09-28;6145291;285332;95452
251;2020-09-29;6225763;287421;95499
